sent_packets,tracked_txs,header_drop_packets,decoded_bytes,decoded_hrd_pld,decoded_hdr,decodable_pld,collided_hdr_pld,tp,fp,fn,time
10.0,10.0,0.0,200.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.25335582600765,11.0,0.0,220.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.663801734674035,12.0,0.0,240.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.251026703029977,14.0,0.0,280.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0371874375133,16.0,0.0,320.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.047217668271703,18.0,0.0,360.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.309176209047358,20.0,0.0,400.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.854638641349908,22.0,0.0,440.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.719138090593443,25.0,0.0,500.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.942661247167504,28.0,0.0,560.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.57020655659783,32.0,0.0,640.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.65241237079628,36.0,0.0,680.0,34.0,0.0,0.0,2.0,0.0,0.0,2.0,4.048888444900513
41.24626382901352,41.0,0.0,780.0,39.0,0.0,0.0,2.0,0.0,0.0,2.0,3.8836750984191895
46.41588833612777,46.0,0.0,860.0,43.0,1.0,0.0,2.0,0.0,0.0,2.0,3.889535903930664
52.23345074266843,52.0,0.0,1000.0,50.0,0.0,2.0,0.0,0.0,0.0,2.0,3.8753883838653564
58.780160722749116,58.0,0.0,1120.0,56.0,0.0,2.0,0.0,0.0,0.0,2.0,3.8752071857452393
66.14740641230149,66.0,0.0,1160.0,58.0,2.0,6.0,0.0,0.0,0.0,6.0,3.907869338989258
74.43803013251689,74.0,0.0,1380.0,69.0,0.0,5.0,0.0,0.0,0.0,6.0,4.002310037612915
83.76776400682915,83.0,0.0,1480.0,74.0,2.0,7.0,0.0,0.0,0.0,7.0,3.852914571762085
94.26684551178855,94.0,0.0,1700.0,85.0,5.0,3.0,1.0,0.0,0.0,4.0,3.8191821575164795
106.08183551394482,106.0,0.0,1540.0,77.0,13.0,14.0,2.0,0.0,0.0,16.0,3.822608709335327
119.37766417144357,119.0,0.0,1560.0,78.0,16.0,18.0,7.0,0.0,0.0,26.0,3.8200223445892334
134.33993325989002,134.0,0.0,1720.0,86.0,18.0,23.0,7.0,0.0,0.0,30.0,3.8147270679473877
151.1775070615663,151.0,0.0,1520.0,76.0,41.0,20.0,14.0,0.0,0.0,31.0,3.793750762939453
170.1254279852589,170.0,0.0,1500.0,75.0,49.0,24.0,22.0,0.0,0.0,48.0,3.7570993900299072
191.44819761699577,191.0,0.0,1280.0,64.0,60.0,28.0,39.0,0.0,0.0,66.0,3.794462203979492
215.44346900318823,215.0,0.0,1120.0,56.0,63.0,41.0,55.0,0.0,0.0,95.0,3.781501054763794
242.44620170823282,242.0,0.0,860.0,43.0,87.0,25.0,87.0,0.0,0.0,115.0,3.7759342193603516
272.83333764867695,272.0,0.0,500.0,25.0,103.0,24.0,120.0,0.0,0.0,142.0,3.8061599731445312
307.029062975785,307.0,0.0,360.0,18.0,105.0,25.0,159.0,0.0,0.0,183.0,3.807709217071533
345.5107294592218,345.0,0.0,200.0,10.0,114.0,14.0,207.0,0.0,0.0,216.0,3.7797563076019287
388.81551803080856,388.0,0.0,100.0,5.0,100.0,11.0,272.0,0.0,0.0,278.0,3.720982789993286
437.54793750741845,437.0,0.0,20.0,1.0,92.0,4.0,340.0,0.0,0.0,341.0,3.8190016746520996
492.3882631706742,492.0,0.0,40.0,2.0,86.0,4.0,400.0,0.0,0.0,405.0,3.763713836669922
554.1020330009492,554.0,0.0,0.0,0.0,69.0,1.0,484.0,0.0,0.0,483.0,3.754361867904663
623.5507341273913,623.0,0.0,0.0,0.0,67.0,0.0,556.0,0.0,0.0,560.0,3.6990978717803955
701.7038286703822,701.0,0.0,0.0,0.0,51.0,0.0,650.0,0.0,0.0,647.0,3.6869728565216064
789.6522868499725,789.0,0.0,0.0,0.0,43.0,0.0,746.0,0.0,0.0,750.0,3.7466695308685303
888.6238162743407,888.0,0.0,0.0,0.0,39.0,0.0,849.0,0.0,0.0,849.0,3.7881340980529785
1000.0,1000.0,0.0,0.0,0.0,31.0,0.0,969.0,0.0,0.0,971.0,3.7460596561431885
